advisory_id,severity,package,title,installed_versions,vulnerable_versions,patched_versions,dependency_paths,url
GHSA-gj8w-mvpf-x27x,high,pnpm,pnpm: Repository-controlled configDependencies can select a pacquet native install engine,11.2.2,>=11.0.0 <11.5.3,>=11.5.3,.>pnpm,https://github.com/advisories/GHSA-gj8w-mvpf-x27x
GHSA-vx52-2968-3vc6,high,pnpm,pnpm: Environment secrets exfiltrated via env-placeholder expansion in proxy settings read from an untrusted pnpm-workspace.yaml,11.2.2,>=11.0.0 <11.11.0,>=11.11.0,.>pnpm,https://github.com/advisories/GHSA-vx52-2968-3vc6
GHSA-c59q-g84q-2gj5,high,pnpm,pnpm: Virtual store linker path traversal via unvalidated depPath name in lockfileToDepGraph,11.2.2,>=11.0.0 <11.11.0,>=11.11.0,.>pnpm,https://github.com/advisories/GHSA-c59q-g84q-2gj5
GHSA-vq4v-j7r6-jq4m,high,pnpm,pnpm: A tarball dependency's manifest `name` escapes node_modules → arbitrary file write/overwrite on install,11.2.2,>=11.0.0 <11.11.0,>=11.11.0,.>pnpm,https://github.com/advisories/GHSA-vq4v-j7r6-jq4m
GHSA-r28c-9q8g-f849,high,postcss,PostCSS: Path Traversal in Previous Source Map Auto-Loading (sourceMappingURL) leads to Arbitrary .map File Disclosure,8.5.15,<=8.5.17,>=8.5.18,.>autoprefixer>postcss; .>postcss; .>tailwindcss>postcss; .>tailwindcss>postcss-import>postcss; .>tailwindcss>postcss-js>postcss; .>tailwindcss>postcss-load-config>postcss; .>tailwindcss>postcss-nested>postcss,https://github.com/advisories/GHSA-r28c-9q8g-f849
GHSA-8988-4f7v-96qf,moderate,@opentelemetry/core,OpenTelemetry Core: Unbounded memory allocation in W3C Baggage propagation,2.2.0; 2.7.1,<2.8.0,>=2.8.0,.>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>@opentelemetry/sdk-logs>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>@opentelemetry/sdk-logs>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>@opentelemetry/sdk-metrics>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>@opentelemetry/sdk-metrics>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>@opentelemetry/sdk-trace-base>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-exporter-base>@opentelemetry/otlp-transformer>@opentelemetry/sdk-trace-base>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>@opentelemetry/sdk-logs>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>@opentelemetry/sdk-logs>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>@opentelemetry/sdk-metrics>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>@opentelemetry/sdk-metrics>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>@opentelemetry/sdk-trace-base>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/otlp-transformer>@opentelemetry/sdk-trace-base>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/sdk-logs>@opentelemetry/core; .>posthog-js>@opentelemetry/exporter-logs-otlp-http>@opentelemetry/sdk-logs>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/resources>@opentelemetry/core; .>posthog-js>@opentelemetry/sdk-logs>@opentelemetry/core; .>posthog-js>@opentelemetry/sdk-logs>@opentelemetry/resources>@opentelemetry/core,https://github.com/advisories/GHSA-8988-4f7v-96qf
GHSA-w5vr-8v7q-w6rv,moderate,baseline-browser-mapping,baseline-browser-mapping process termination on invalid input causes denial of service,2.10.32,>=2.0.0 <2.11.0,>=2.11.0,.>autoprefixer>browserslist>baseline-browser-mapping; .>eslint-config-next>eslint-plugin-react-hooks>@babel/core>@babel/helper-compilation-targets>browserslist>baseline-browser-mapping; .>next>baseline-browser-mapping; .>next>styled-jsx>@babel/core>@babel/helper-compilation-targets>browserslist>baseline-browser-mapping,https://github.com/advisories/GHSA-w5vr-8v7q-w6rv
GHSA-hpcv-96wg-7vj8,moderate,dompurify,DOMPurify: Cross-realm IN_PLACE sanitization leaves executable markup intact via realm-bound `instanceof` checks,3.4.5,<=3.4.5,>=3.4.6,.>posthog-js>dompurify,https://github.com/advisories/GHSA-hpcv-96wg-7vj8
GHSA-r47g-fvhr-h676,moderate,dompurify,"DOMPurify: IN_PLACE mode preserves attributes of a clobbered root element, allowing XSS via attacker-controlled root DOM",3.4.5,<=3.4.5,>=3.4.6,.>posthog-js>dompurify,https://github.com/advisories/GHSA-r47g-fvhr-h676
GHSA-rp9w-3fw7-7cwq,moderate,dompurify,DOMPurify IN_PLACE Sanitization Bypass via Attached Shadow Root Inside <template>.content,3.4.5,<=3.4.6,>=3.4.7,.>posthog-js>dompurify,https://github.com/advisories/GHSA-rp9w-3fw7-7cwq
GHSA-cmwh-pvxp-8882,moderate,dompurify,DOMPurify: Permanent `ALLOWED_ATTR` pollution via `setConfig()` bypassing the hook clone-guard (incomplete fix of the 3.4.7 hook-pollution patch),3.4.5,<=3.4.10,>=3.4.11,.>posthog-js>dompurify,https://github.com/advisories/GHSA-cmwh-pvxp-8882
GHSA-76mc-f452-cxcm,moderate,dompurify,DOMPurify: Hook mutation of `data.allowedTags` / `data.allowedAttributes` permanently pollutes `DEFAULT_ALLOWED_TAGS` / `DEFAULT_ALLOWED_ATTR`,3.4.5,<3.4.7,>=3.4.7,.>posthog-js>dompurify,https://github.com/advisories/GHSA-76mc-f452-cxcm
GHSA-55q2-fjhq-7xh7,moderate,dompurify,"DOMPurify: IN_PLACE hook removal leaves a detached subtree executable, causing XSS",3.4.5,<=3.4.12,>=3.4.13,.>posthog-js>dompurify,https://github.com/advisories/GHSA-55q2-fjhq-7xh7
GHSA-67mh-4wv8-2f99,moderate,esbuild,esbuild enables any website to send any requests to the development server and read the response,0.18.20,<=0.24.2,>=0.25.0,.>drizzle-kit>@esbuild-kit/esm-loader>@esbuild-kit/core-utils>esbuild,https://github.com/advisories/GHSA-67mh-4wv8-2f99
GHSA-px8p-9vwx-vf98,moderate,fflate,fflate unzipSync can enter an infinite loop when parsing malformed ZIP64 archives,0.4.8,>=0.4.5 <0.4.9,>=0.4.9,.>posthog-js>fflate,https://github.com/advisories/GHSA-px8p-9vwx-vf98
